policy_id,title,sector,region,year,impact_score,goals
P1001,District Primary Education Reform 4,Higher Education,Uttar Pradesh,2018,0.127,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1002,National Vocational Education Reform 44,Higher Education,Tamil Nadu,2018,0.419,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1003,National Primary Education Reform 6,Secondary,Delhi,2016,0.666,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1004,State Vocational Education Reform 35,Early Childhood,Uttar Pradesh,2025,0.457,Increase learning outcomes score by 30% within 4 years and reduce disparities between rural and urban areas.
P1005,District Higher Education Education Reform 96,Early Childhood,West Bengal,2024,0.553,"Train 1360 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1006,District Primary Education Reform 88,Primary,Rajasthan,2019,0.504,"Train 4208 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1007,District Primary Education Reform 77,Higher Education,Gujarat,2015,0.881,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1008,National Early Childhood Education Reform 97,Secondary,Delhi,2021,0.208,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1009,National Primary Education Reform 43,Primary,Rajasthan,2018,0.613,"Train 822 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1010,National Vocational Education Reform 94,Higher Education,Maharashtra,2018,0.348,"Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1011,State Primary Education Reform 22,Vocational,Karnataka,2021,0.689,Increase digital access score by 39% within 1 years and reduce disparities between rural and urban areas.
P1012,District Early Childhood Education Reform 21,Primary,Rajasthan,2016,0.459,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1013,State Vocational Education Reform 17,Higher Education,Gujarat,2020,0.987,Increase learning outcomes score by 9% within 2 years and reduce disparities between rural and urban areas.
P1014,District Higher Education Education Reform 79,Early Childhood,Karnataka,2025,0.335,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1015,State Higher Education Education Reform 7,Primary,West Bengal,2019,0.244,Increase digital access score by 12% within 1 years and reduce disparities between rural and urban areas.
P1016,District Secondary Education Reform 56,Secondary,Karnataka,2019,0.694,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1017,District Secondary Education Reform 35,Secondary,Maharashtra,2021,0.411,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1018,District Early Childhood Education Reform 43,Primary,Maharashtra,2019,0.408,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1019,State Vocational Education Reform 9,Higher Education,Punjab,2020,0.39,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1020,State Secondary Education Reform 56,Early Childhood,Punjab,2025,0.555,Increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.
P1021,National Secondary Education Reform 61,Early Childhood,Maharashtra,2022,0.231,Increase vocational skills score by 38% within 4 years and reduce disparities between rural and urban areas.
P1022,National Vocational Education Reform 86,Early Childhood,Rajasthan,2024,0.497,Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.
P1023,National Higher Education Education Reform 31,Higher Education,Kerala,2020,0.718,Increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas.
P1024,District Primary Education Reform 98,Early Childhood,West Bengal,2022,0.579,"Train 4049 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1025,District Secondary Education Reform 60,Secondary,Punjab,2023,0.221,"Train 3155 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1026,State Primary Education Reform 61,Primary,Rajasthan,2015,0.771,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1027,National Early Childhood Education Reform 78,Primary,Tamil Nadu,2019,0.453,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1028,National Early Childhood Education Reform 83,Higher Education,Karnataka,2021,0.666,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1029,State Secondary Education Reform 12,Higher Education,Gujarat,2018,0.857,Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.
P1030,National Secondary Education Reform 93,Vocational,Gujarat,2023,0.499,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1031,State Early Childhood Education Reform 43,Higher Education,Gujarat,2019,0.381,Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas.
P1032,State Secondary Education Reform 39,Primary,Rajasthan,2017,0.668,"Train 3895 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1033,National Vocational Education Reform 63,Primary,Punjab,2025,0.945,"Train 4933 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1034,State Early Childhood Education Reform 80,Primary,Punjab,2016,0.24,Increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas.
P1035,District Higher Education Education Reform 90,Vocational,Maharashtra,2025,0.3,Increase infrastructure score by 24% within 5 years and reduce disparities between rural and urban areas.
P1036,District Vocational Education Reform 35,Early Childhood,Rajasthan,2022,0.637,Increase learning outcomes score by 16% within 4 years and reduce disparities between rural and urban areas.
P1037,District Vocational Education Reform 12,Vocational,Kerala,2021,0.466,"Train 4556 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1038,District Primary Education Reform 85,Early Childhood,Gujarat,2021,0.657,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1039,State Early Childhood Education Reform 2,Early Childhood,West Bengal,2016,0.544,Increase vocational skills score by 35% within 2 years and reduce disparities between rural and urban areas.
P1040,District Early Childhood Education Reform 96,Secondary,Maharashtra,2019,0.338,"Train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1041,State Vocational Education Reform 42,Secondary,Uttar Pradesh,2024,0.728,"Train 4107 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1042,State Primary Education Reform 93,Secondary,West Bengal,2025,0.401,Increase vocational skills score by 25% within 4 years and reduce disparities between rural and urban areas.
P1043,National Primary Education Reform 56,Primary,Maharashtra,2022,0.361,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1044,District Secondary Education Reform 64,Early Childhood,Tamil Nadu,2018,0.9,"Train 655 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1045,State Secondary Education Reform 50,Vocational,Maharashtra,2018,0.12,"Train 4686 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1046,District Higher Education Education Reform 87,Secondary,Maharashtra,2025,0.616,"Train 2726 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1047,State Secondary Education Reform 33,Vocational,Delhi,2020,0.771,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1048,State Higher Education Education Reform 75,Vocational,Kerala,2016,0.392,Increase early childhood development score by 31% within 1 years and reduce disparities between rural and urban areas.
P1049,National Primary Education Reform 31,Early Childhood,Tamil Nadu,2021,0.888,Increase vocational skills score by 28% within 2 years and reduce disparities between rural and urban areas.
P1050,District Higher Education Education Reform 70,Higher Education,Karnataka,2021,0.182,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1051,National Secondary Education Reform 43,Secondary,Punjab,2015,0.198,Increase learning outcomes score by 6% within 2 years and reduce disparities between rural and urban areas.
P1052,National Primary Education Reform 61,Vocational,Kerala,2023,0.139,Increase vocational skills score by 35% within 4 years and reduce disparities between rural and urban areas.
P1053,National Primary Education Reform 42,Early Childhood,Tamil Nadu,2016,0.572,Increase digital access score by 40% within 2 years and reduce disparities between rural and urban areas.
P1054,State Vocational Education Reform 54,Primary,Kerala,2021,0.16,Increase learning outcomes score by 40% within 1 years and reduce disparities between rural and urban areas.
P1055,District Vocational Education Reform 93,Primary,Delhi,2024,0.238,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1056,District Early Childhood Education Reform 4,Early Childhood,Delhi,2015,0.105,"Train 620 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1057,National Higher Education Education Reform 40,Higher Education,Punjab,2024,0.144,Increase learning outcomes score by 31% within 3 years and reduce disparities between rural and urban areas.
P1058,National Higher Education Education Reform 87,Early Childhood,Gujarat,2023,0.149,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1059,National Vocational Education Reform 69,Secondary,Rajasthan,2023,0.488,Increase digital access score by 31% within 3 years and reduce disparities between rural and urban areas.
P1060,District Vocational Education Reform 89,Higher Education,Maharashtra,2021,0.566,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1061,State Secondary Education Reform 31,Primary,Tamil Nadu,2019,0.258,"Train 4674 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1062,State Early Childhood Education Reform 8,Higher Education,Rajasthan,2016,0.84,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1063,National Primary Education Reform 58,Primary,Kerala,2016,0.982,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1064,District Higher Education Education Reform 9,Higher Education,Maharashtra,2023,0.877,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1065,National Early Childhood Education Reform 12,Vocational,Rajasthan,2020,0.404,"Train 1319 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
