policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1362,National Primary Education Reform 72,Primary,Delhi,2021,Urban Students,Proposed,0.19,"EdTech Companies, Universities",0.801,A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Urban Students and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Urban Students and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Stakeholder consultations planned.","p1362 national primary education reform 72 primary delhi urban students proposed edtech companies, universities a nationwide/state-level initiative to strengthen early childhood development through grants to schools. targets urban students and aims to raise completion rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen early childhood development through grants to schools. targets urban students and aims to raise completion rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. stakeholder consultations planned."
P1074,State Primary Education Reform 94,Higher Education,Punjab,2021,Rural Students,Proposed,3.52,"Central Government, Donors",0.423,This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Punjab. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Punjab. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Budget allocations defined.","p1074 state primary education reform 94 higher education punjab rural students proposed central government, donors this policy aims to improve vocational skills in higher education by providing public-private partnerships across punjab. it focuses on gender equity. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve vocational skills in higher education by providing public-private partnerships across punjab. it focuses on gender equity. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. budget allocations defined."
P1375,District Primary Education Reform 73,Primary,Tamil Nadu,2017,Rural Students,Pilot,0.18,"Central Government, Donors",0.157,This policy aims to improve digital access in Primary by providing teacher training programs across Tamil Nadu. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve digital access in Primary by providing teacher training programs across Tamil Nadu. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation.","p1375 district primary education reform 73 primary tamil nadu rural students pilot central government, donors this policy aims to improve digital access in primary by providing teacher training programs across tamil nadu. it focuses on urban inclusion. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve digital access in primary by providing teacher training programs across tamil nadu. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. includes evaluation."
P1156,National Higher Education Education Reform 39,Higher Education,Delhi,2022,All,Proposed,7.02,"Central Government, Donors",0.789,"Policy to enhance teacher quality and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Budget allocations defined.","p1156 national higher education education reform 39 higher education delhi all proposed central government, donors policy to enhance teacher quality and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement. train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. policy to enhance teacher quality and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. budget allocations defined."
P1105,National Secondary Education Reform 65,Vocational,Kerala,2015,Women,Pilot,0.11,"EdTech Companies, Universities",0.591,This policy aims to improve learning outcomes in Vocational by providing grants to schools across Kerala. It focuses on STEM education.,Increase learning outcomes score by 6% within 5 years and reduce disparities between rural and urban areas.,This policy aims to improve learning outcomes in Vocational by providing grants to schools across Kerala. It focuses on STEM education. Goals: Increase learning outcomes score by 6% within 5 years and reduce disparities between rural and urban areas. Focus on equity. Stakeholder consultations planned.,"p1105 national secondary education reform 65 vocational kerala women pilot edtech companies, universities this policy aims to improve learning outcomes in vocational by providing grants to schools across kerala. it focuses on stem education. increase learning outcomes score by 6% within 5 years and reduce disparities between rural and urban areas. this policy aims to improve learning outcomes in vocational by providing grants to schools across kerala. it focuses on stem education. goals: increase learning outcomes score by 6% within 5 years and reduce disparities between rural and urban areas. focus on equity. stakeholder consultations planned."
P1395,National Secondary Education Reform 11,Higher Education,Maharashtra,2021,Students,Under Review,2.04,"EdTech Companies, Universities",0.309,This policy aims to improve digital access in Higher Education by providing public-private partnerships across Maharashtra. It focuses on marginalized communities.,Increase digital access score by 5% within 5 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Higher Education by providing public-private partnerships across Maharashtra. It focuses on marginalized communities. Goals: Increase digital access score by 5% within 5 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.,"p1395 national secondary education reform 11 higher education maharashtra students under review edtech companies, universities this policy aims to improve digital access in higher education by providing public-private partnerships across maharashtra. it focuses on marginalized communities. increase digital access score by 5% within 5 years and reduce disparities between rural and urban areas. this policy aims to improve digital access in higher education by providing public-private partnerships across maharashtra. it focuses on marginalized communities. goals: increase digital access score by 5% within 5 years and reduce disparities between rural and urban areas. stakeholder consultations planned. focus on equity."
P1378,District Secondary Education Reform 68,Higher Education,Punjab,2022,Urban Students,Pilot,3.82,"Teachers' Unions, Community Leaders",0.675,"Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Timeline set.","p1378 district secondary education reform 68 higher education punjab urban students pilot teachers' unions, community leaders policy to enhance digital access and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance digital access and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. timeline set."
P1125,State Vocational Education Reform 42,Early Childhood,Karnataka,2016,Disadvantaged Groups,Pilot,88.01,"EdTech Companies, Universities",0.454,"Policy to enhance digital access and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Train 2694 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Train 2694 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Focus on equity.","p1125 state vocational education reform 42 early childhood karnataka disadvantaged groups pilot edtech companies, universities policy to enhance digital access and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. train 2694 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. policy to enhance digital access and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. goals: train 2694 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. budget allocations defined. focus on equity."
P1069,District Secondary Education Reform 98,Vocational,Gujarat,2024,Students,Proposed,1.65,"State Education Department, Private Partners",0.588,This policy aims to improve vocational skills in Vocational by providing scholarship schemes across Gujarat. It focuses on STEM education.,Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Vocational by providing scholarship schemes across Gujarat. It focuses on STEM education. Goals: Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. Timeline set. Stakeholder consultations planned.,"p1069 district secondary education reform 98 vocational gujarat students proposed state education department, private partners this policy aims to improve vocational skills in vocational by providing scholarship schemes across gujarat. it focuses on stem education. increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. this policy aims to improve vocational skills in vocational by providing scholarship schemes across gujarat. it focuses on stem education. goals: increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. timeline set. stakeholder consultations planned."
P1451,State Early Childhood Education Reform 16,Vocational,Gujarat,2021,Urban Students,Under Review,86.25,"Central Government, Donors",0.566,"Policy to enhance teacher quality and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 3559 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 3559 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Timeline set. Budget allocations defined.","p1451 state early childhood education reform 16 vocational gujarat urban students under review central government, donors policy to enhance teacher quality and safety standards using grants to schools. includes capacity-building, monitoring and community engagement. train 3559 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. policy to enhance teacher quality and safety standards using grants to schools. includes capacity-building, monitoring and community engagement. goals: train 3559 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. timeline set. budget allocations defined."
