policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1250,National Vocational Education Reform 69,Higher Education,Gujarat,2021,0.594,"Train 2946 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 69 train 2946 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1434,District Primary Education Reform 1,Secondary,Tamil Nadu,2020,0.825,"Train 1235 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district primary education reform 1 train 1235 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1020,State Secondary Education Reform 56,Early Childhood,Punjab,2025,0.555,Increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.,state secondary education reform 56 increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.
P1323,National Vocational Education Reform 46,Early Childhood,Punjab,2015,0.697,Increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.,national vocational education reform 46 increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.
P1333,District Early Childhood Education Reform 93,Vocational,Delhi,2024,0.211,Increase learning outcomes score by 18% within 4 years and reduce disparities between rural and urban areas.,district early childhood education reform 93 increase learning outcomes score by 18% within 4 years and reduce disparities between rural and urban areas.
P1057,National Higher Education Education Reform 40,Higher Education,Punjab,2024,0.144,Increase learning outcomes score by 31% within 3 years and reduce disparities between rural and urban areas.,national higher education education reform 40 increase learning outcomes score by 31% within 3 years and reduce disparities between rural and urban areas.
P1302,State Primary Education Reform 24,Higher Education,West Bengal,2021,0.21,"Train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state primary education reform 24 train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1230,State Early Childhood Education Reform 6,Higher Education,Rajasthan,2024,0.964,"Train 1869 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 6 train 1869 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1332,District Vocational Education Reform 97,Vocational,Punjab,2019,0.331,"Train 97 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 97 train 97 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1133,District Higher Education Education Reform 22,Higher Education,Tamil Nadu,2019,0.342,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 22 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1138,National Early Childhood Education Reform 18,Vocational,Maharashtra,2024,0.311,Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.,national early childhood education reform 18 increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.
P1424,District Vocational Education Reform 12,Primary,Tamil Nadu,2025,0.272,Increase digital access score by 17% within 5 years and reduce disparities between rural and urban areas.,district vocational education reform 12 increase digital access score by 17% within 5 years and reduce disparities between rural and urban areas.
P1336,State Vocational Education Reform 61,Primary,Gujarat,2024,0.244,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 61 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1026,State Primary Education Reform 61,Primary,Rajasthan,2015,0.771,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state primary education reform 61 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1465,National Primary Education Reform 2,Secondary,Maharashtra,2020,0.744,"Train 2177 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national primary education reform 2 train 2177 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1282,National Early Childhood Education Reform 8,Higher Education,Tamil Nadu,2016,0.296,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 8 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1248,National Early Childhood Education Reform 30,Higher Education,Uttar Pradesh,2015,0.756,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 30 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1238,State Vocational Education Reform 53,Higher Education,Gujarat,2025,0.217,Increase learning outcomes score by 19% within 2 years and reduce disparities between rural and urban areas.,state vocational education reform 53 increase learning outcomes score by 19% within 2 years and reduce disparities between rural and urban areas.
P1118,National Vocational Education Reform 51,Primary,Punjab,2018,0.283,Increase vocational skills score by 28% within 3 years and reduce disparities between rural and urban areas.,national vocational education reform 51 increase vocational skills score by 28% within 3 years and reduce disparities between rural and urban areas.
P1043,National Primary Education Reform 56,Primary,Maharashtra,2022,0.361,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 56 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1221,State Primary Education Reform 8,Higher Education,Tamil Nadu,2023,0.974,"Train 224 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 8 train 224 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1177,National Vocational Education Reform 85,Early Childhood,Punjab,2020,0.344,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 85 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
